row,appid
1415,2385330
1416,1645730
1417,3414940
1418,3253730
1419,2022970
1420,3614170
1421,15390
1422,1500120
1423,2936220
1424,2425970
1425,1013980
1426,2432040
1427,2071100
1428,910980
1429,2077660
1430,1917160
1431,2428170
1432,1967450
1433,2428460
1434,838330
1435,1525160
1436,1757690
1437,2261930
1438,3233300
1439,2718100
1440,1330290
1441,1591490
1442,2438520
1443,467910
1444,3926440
1445,2193690
1446,1510010
1447,1569220
1448,2120810
1449,1185490
1450,1949370
1451,2372110
1452,3209000
1453,2136200
1454,1584500
1455,1548800
1456,653210
1457,3262470
1458,798950
1459,1110580
1460,1393610
1461,312050
1462,546110
1463,1021780
1464,946610
1465,463150
1466,3305370
1467,525350
1468,669750
1469,2581210
1470,867980
1471,2240790
1472,2569460
1473,1588700
1474,3468390
1475,1833100
1476,2776030
1477,3034660
1478,3139670
1479,501020
1480,1872130
1481,1892510
1482,259080
1483,3605520
1484,2333280
1485,1839820
1486,3346610
1487,1190750
1488,1643520
1489,3706100
1490,1417160
1491,3162030
1492,2390820
1493,3717830
1494,2076840
1495,3004470
1496,3010930
1497,2299950
1498,2947980
1499,1988630
1500,1580340
1501,2975190
1502,3113870
1503,2615100
1504,782340
1505,2816530
1506,2653410
1507,1380960
1508,1057780
1509,3700170
1510,638020
1511,1050240
1512,1223270
1513,3811670
1514,359550
1515,776670
1516,701610
1517,1903770
1518,671470
1519,3191680
1520,378700
1521,1323710
1522,2688480
1523,228300
1524,975220
1525,2868590
1526,880910
1527,1050000
1528,2163100
1529,2242500
1530,3561490
1531,707040
1532,3191320
1533,799640
1534,931650
1535,1549660
1536,919040
1537,1808260
1538,624780
1539,2195630
1540,707340
1541,2322020
1542,1368120
1543,1898430
1544,1807740
1545,1725370
1546,1416300
1547,2530550
1548,1350030
1549,1973270
1550,3288920
1551,3153250
1552,2285120
1553,1223110
1554,2499910
1555,525190
1556,262610
1557,2590410
1558,601200
1559,915270
1560,891320
1561,3258560
1562,2158190
1563,3058630
1564,287700
1565,1621350
1566,1565850
1567,1460530
1568,1836920
1569,1558360
1570,2362490
1571,3445000
1572,2821400
1573,1598220
1574,496180
1575,514670
1576,2804300
1577,3467750
1578,1027910
1579,908150
1580,423750
1581,2368030
1582,3687120
1583,772340
1584,2230370
1585,391180
1586,2782030
1587,2737260
1588,1698140
1589,498320
1590,1082750
1591,3138500
1592,1565860
1593,2079230
1594,3373810
1595,1790250
1596,1583300
1597,3376160
1598,827640
1599,2956850
1600,1845880
1601,752760
1602,1019080
1603,1225120
1604,2895560
1605,2248950
1606,3089760
1607,1774810
1608,245450
1609,3159290
1610,867850
1611,858250
1612,405550
1613,2074320
1614,1214280
1615,1640090
1616,1607470
1617,801910
1618,2109860
1619,637060
1620,357070
1621,447170
1622,3464600
1623,2081460
1624,330350
1625,441050
1626,2839280
1627,3736250
1628,1240210
1629,3627800
1630,754810
1631,1483090
1632,1635080
1633,3758360
1634,1591870
1635,3245530
1636,607210
1637,491660
1638,3056590
1639,989580
1640,836420
1641,1103790
1642,3717660
1643,317080
1644,2624320
1645,904890
1646,1971910
1647,2708670
1648,1161440
1649,963470
1650,531100
1651,3420860
1652,3906110
1653,1778030
1654,1815260
1655,1040740
1656,1519940
1657,1453640
1658,355750
1659,3092500
1660,3894910
1661,1578050
1662,1362310
1663,1331340
1664,1383400
1665,1660440
1666,3814170
1667,969420
1668,816150
1669,432420
1670,2866980
1671,3286460
1672,3271000
1673,1235120
1674,3207810
1675,2579960
1676,1325370
1677,1433430
1678,3774560
1679,1940790
1680,273840
1681,3462960
1682,1837870
1683,3581840
1684,1394600
1685,3328720
1686,870090
1687,252950
1688,1801490
1689,2601620
1690,1442360
1691,1002890
1692,1522850
1693,1270080
1694,3139510
1695,346080
1696,3408610
1697,646330
1698,3328260
1699,360380
1700,2827520
1701,3873530
1702,3653320
1703,2258940
1704,3615480
1705,296210
1706,2336550
1707,1281140
1708,1934810
1709,1033230
1710,323270
1711,3825930
1712,2816260
1713,1813370
1714,1920660
1715,1508890
1716,1329630
1717,1908500
1718,1486120
1719,3646480
1720,257970
1721,2439790
1722,682990
1723,1011970
1724,922820
1725,1583000
1726,2789710
1727,2696660
1728,750170
1729,3694770
1730,107410
1731,3787530
1732,2428260
1733,2412540
1734,3372890
1735,1915520
1736,32330
1737,2842690
1738,3304220
1739,3207300
1740,2363810
1741,528790
1742,880510
1743,739260
1744,2108820
1745,2139300
1746,2932180
1747,2085160
1748,517130
1749,514220
1750,2961460
1751,3863240
1752,32650
1753,2438220
1754,1480870
1755,2247880
1756,3131280
1757,604450
1758,958300
1759,824070
1760,2752440
1761,288220
1762,690570
1763,702810
1764,1300920
1765,3699610
1766,2573030
1767,627270
1768,1285190
1769,3115660
1770,3932030
1771,2653120
1772,3666180
1773,854330
1774,2161810
1775,3464690
1776,3225990
1777,2650040
1778,2062970
1779,1519560
1780,3709250
1781,876480
1782,2987370
1783,1219740
1784,1374840
1785,3979870
1786,366280
1787,1967340
1788,3675510
1789,610410
1790,524240
1791,3812030
1792,3082170
1793,3570340
1794,605310
1795,3019800
1796,3547720
1797,1736310
1798,3338680
1799,3582020
1800,3843270
1801,1232830
1802,1676670
1803,2475810
1804,2604880
1805,675620
1806,3481470
1807,3228600
1808,1481830
1809,2004650
1810,2370790
1811,408280
1812,3703530
1813,1877720
1814,1322490
1815,1815750
1816,2113580
1817,1735090
1818,2442150
1819,1763900
1820,2489950
1821,370310
1822,2673530
1823,2088400
1824,1383520
1825,3334540
1826,275350
1827,1184700
1828,349440
1829,3548580
1830,2798410
1831,3256290
1832,3248320
1833,1099450
1834,2261900
1835,3278310
1836,3916810
1837,2910430
1838,661190
1839,3175130
1840,3371500
1841,2898180
1842,1169230
1843,494600
1844,1882750
1845,1938330
1846,1655960
1847,3442680
1848,3620020
1849,3040010
1850,2465530
1851,372720
1852,921700
1853,2370950
1854,2115980
1855,3452960
1856,3560410
1857,1620820
1858,2085000
1859,3366030
1860,3081020
1861,1242670
1862,285520
1863,1119770
1864,597240
1865,2490960
1866,2607420
1867,2117130
1868,2302530
1869,3771250
1870,338420
1871,2872760
1872,1614870
1873,3781150
1874,2774620
1875,878280
1876,2981750
1877,1953110
1878,730690
1879,1470860
1880,2718210
1881,943030
1882,750900
1883,3022740
1884,444520
1885,338840
1886,2107420
1887,3027900
1888,3578120
1889,2777610
1890,1790760
1891,1731690
1892,645790
1893,2732890
1894,2934100
1895,3814230
1896,1117000
1897,3656640
1898,2140520
1899,2073820
1900,839910
1901,2069730
1902,763710
1903,875270
1904,2099630
1905,3738170
1906,3249180
1907,3863140
1908,1880150
1909,778650
1910,1263840
1911,2426000
1912,1974250
1913,2914440
1914,2794390
1915,2532640
1916,3002010
1917,3074390
1918,1881460
1919,274350
1920,3535050
1921,929150
1922,3669020
1923,2719640
1924,556180
1925,1718040
1926,572660
1927,845110
